*?ḫwerħ-	'besprengen'	IEW 80-1
*ḫwers-	'regnen'	IEW 80-1
*ḫwert-	'schwören'	IEW 1162
*ḫwes-	'(morgens) hell werden'	IEW 86-7
*ḫwes-	'(ver)weilen, die Nacht verbringen'	IEW 72, 1170-1
*?ḫwet-	'ziehen, führen'	IEW –
*ḫwyedʰ-	'verletzend/tödlich treffen'	IEW 1127-8
*ḥed-	'zu riechen beginnen (intr.)'	IEW 772-3
*ḥed-	'zu hassen beginnen'	IEW 773
*?ḥeygʰ-	'(fort) gehen'	IEW 296
*?ḥeyt-	'mitnehmen'	IEW 295
*ḥekᵂ-	'ins Auge fassen, erblicken'	IEW 775-7
*ḥelħ-	'zugrunde gehen'	IEW 777
*ḥep-	'herstellen'	IEW 780
*ḥep-	'wünschen, wählen'	IEW 781
*ḥer-	'sich in (Fort-)Bewegung setzen'	IEW 326-9
*ḥerg-	'umkommen'	IEW –
*ḥmeyģʰ-	'harnen'	IEW 713
*ḥneḫ-	'genießen'	IEW 754, 47
*ḥneyd-	'schmähen'	IEW 760-1
*?ḥpews-	'sich mehren, reich werden an'	IEW 848
*ḥreģ-	'gerade richten, ausstrecken'	IEW 854-7
*ḥreyH-	'wallen, wirbeln'	IEW 330-1
*ḥrewH-	'brüllen'	IEW 867
*ḥrewk-	'(aus)graben, (aus)rupfen'	IEW 869-70
*ḥsleydʰ-	'ausgleiten, fehlgehen'	IEW 960-1
*ḥwatḫ-	'verwunden'	IEW 1108
*?ḥweyg-	'öffnen (?)'	IEW 73
*yebʰ-	'eingehen, eindringen'	IEW 298
*yeḫ-	'dahinziehen, fahren'	IEW 296
*yeḫ-	'erbitten, erstreben'	IEW 501, 503
*yeḥs-	'gürten'	IEW 513
*yek-	'sprechen'	IEW 503-4
*?yek(ᵂ)s-	'erscheinen'	IEW 502
*?yem-	'ausstrecken, hinstrecken'	IEW 505
*yes-	'sieden, schäumen'	IEW 506
*yet-	'sich (fest) hinstellen'	IEW 506-7
*yew-	'festhalten, an sich ziehen, verbinden'	IEW 507, 508
*yew-	'(sich) fernhalten; weichen'	IEW 508, 511
*yewģH-	'unruhig werden'	IEW 512
*yewg-	'anschirren'	IEW 508-10
*?yewt-	'wahrnehmen, erwachen'	IEW 346
*ḱad-	'fallen'	IEW 516
*ḱeHs-	'anweisen'	IEW 533
*ḱeḫd-	'seelisch aufgewühlt sein'	IEW 516
*ḱeḫk-	'springen'	IEW 522
*ḱeḥ(y)-	'schärfen'	IEW 541-2
*ḱey-	'liegen'	IEW 539-40
*ḱey-	'fallen'	IEW –
*ḱeyd-	'rufen'	IEW 538
*?ḱeys-	'übrig lassen'	IEW –
*ḱek(ᵂ)-	'etwas schaffen, bewältigen'	IEW 522
*ḱel-	'verbergen'	IEW 553-4
*ḱel-	'warm werden'	IEW 551-2
*ḱelH-	'kalt werden, frieren'	IEW 551
*ḱemḫ-	'müde werden; sich abmühen'	IEW 557
*ḱen-	'steigen'	IEW –
*?ḱend-	'Selbstvertrauen, Stärke entwickeln'	IEW 516-7
*ḱenk-	'in der Schwebe sein, hängen (intr.)'	IEW 566
*ḱeNs-	'verkünden; (öffentlich) schätzen'	IEW 566
*ḱent-	'stechen'	IEW 567
*ḱep-	'(ver)fluchen'	IEW –
*ḱer(H)-	'scheißen'	IEW 947-8
*ḱerḫ-	'brechen, zerbrechen (intr.)'	IEW 578
*ḱerḫ-	'mischen'	IEW 582
*ḱerḥ-	'sättigen, füttern'	IEW 577
*ḱes-	'(ab)schneiden'	IEW 586
*?ḱewbʰ-	'schön werden/sein'	IEW 594
*?ḱewdʰ-	'rein werden'	IEW 595
*?ḱewH-	'werfen, schieben'	IEW 954-5
*ḱewk-	'aufflammen, erglühen'	IEW 597
*ḱewk-	'rufen, schreien'	IEW 536
*?ḱyeH-	'gefrieren'	IEW –
*ḱley-	'sich anlehnen'	IEW 601-2
